Drink,Page,Glass,Lemon Juice (oz),Lime Juice (oz),Pineapple Juice (oz),Grapefruit Juice (oz),Orange Juice (oz),Ginger Beer (oz),Bundeberg guava soda (oz),Grapefruit soda (oz),Ginger Ale (oz),Whole Milk (oz),Heavy Whipping Cream (oz),Sparkling Lemonade (oz),Seltzer (oz),Dem Simple Syrup (oz),Passion Fruit Syrup,Cinnamon Syrup (oz),Vanilla Syrup (oz),Honey Syrup (oz),Molasses Syrup (oz),SC Jerk Syrup,Li Hing Mui Syrup,Mai Tai Rich Simple Syrup (oz),Martinique sugarcane syrup (oz),Sweet Cream (oz),Small Hand Foods Raspberry Gum Syrup (oz),Orgeat (oz),Coconut Cream (oz),Pasion fruit puree (oz),Maple Syrup (oz),Vanilla Extract (drops),Almond Extract (drops),Spruce beet soda extract (drops),Blended Light Aged Rum (oz),Sill Aged Rum (oz),Blended Aged Rum (oz),Black Blended Rum - Overproof (oz),Black Blended Rum (oz),Cane coffey still aged rum (oz),Cane AOC Martinique Rhum Agricole Vieux (oz),Cane AOC Martinique Rhum Agricole Blanc (oz),Column still aged rum (oz),Pot still unaged rum,Pot still lightly aged rum,Pot still lightly aged rum - overproof (oz),Wray & Nephew White Overproof Rum,R.L. Seale 10 Year Rum (oz),St. Elizabeth Allspice Dram (oz),Peach Liquor (oz),Leopold Brothers Rocky Mountain Blackberry Liqueur (oz),London dry gin (oz),Sloe Gin (oz),Blanco tequila (oz),Vodka (oz),Bourbon (oz),Rye (oz),Brandy (oz),Pot stilled cachaca (oz),Luxardo Maraschino Liqueur (oz),Natural creme de cassis (oz),John D. Taylor's Velvet Falernum (oz),Pierre Ferrand Dry Curacao (oz),Blue Caracao (oz),Cherry Heering Liqueur (oz),Licor 43 (oz),Green Chartreuse (oz),Yellow Chartreuse (oz),Drambuie (oz),Apple brandy (oz),Natural pear liqueur (oz),Natural apricot liqueur (oz),Ginger liquer (oz),Batavia arrack (oz),Carbonated Chai Tea (oz),Campari (oz),Absinthe Blanc (dash),Punt e Mes (oz),Benedictine (oz),Tawny port (oz),Aquavit (oz),St. George Raspberry Liqueur (oz),Hibiscus Liqueur (oz),Peruvian pisco (oz),Bittermens New Orleans liqueur (oz),Giffard Banane du Bresil Banana Liqueur (oz),Vanilla Brandy (oz),Zirbenz Stone Pine Liqueur (oz),Oloroso sherry (oz),Amaro Di Angostura (oz),Amaro Averna (oz),Blandy's 5 Year Verdelho Madeira,Napa Wine Syrup (oz),Dry Vermouth (oz),Sparkling Wine (oz),Angostura Bitters (dash),Orange Bitters (dash),Grendine (dash),Pechaud's Bitters (dash),Herbstura (dash),Bitttermens Elemakule Tiki Bitters (drops),Bittermens Burlesque bitters (drops),Bittermens Xocolatl Mole Bitters (drops),Stiegl-Radler Grapefruit Beer (oz),Champagne (oz),Coconut water (oz),Spiral Cut Orange Peel (q),Fresh Peach (q),Passion Fruit Honey (oz),Passion Fruit Puree (oz),Pineapple Chunks (q),Mint Leaves (q),Lime Wedge (q),Egg White (q)
Aku Aku,39,chilled coupe,,1,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,,
Pupule,39,footed pilsner,,0.75,,,0.75,,,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,
Don's Own Grog,40,double old-fashioned,,0.75,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Port Au Prince,40,footed pilsner,,0.5,0.5,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
Three Dots and a Dash,43,footed pilsner,,0.5,,,0.5,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.5,,,,1.5,,,,,,,,0.25,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Mexican El Diablo,43,collins or highball,,0.5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Port Light,44,footed pilsner,1,,,,,,,,,,,,,,0.5,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Demerara Dry Float,44,double old-fashioned,0.1666,2,,,,,,,,,,,,0.25,1.5,,,,,,,,,,,,,,,,,,,,1.5,0.75,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet Pilot,61,double old-fashioned,,0.5,,0.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.75,0.75,1,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Halekulani Cocktail,61,chilled coupe,0.5,,0.5,,0.5,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,
Sidewinder's Fang,62,brandy snifter,,1.5,,,1.5,,,,,,,,3,,1.5,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Hawaiian Sunset,62,chilled coupe,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
Captain's Grog,65,double old-fashioned,,0.5,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,0.5,3,3,,0.75,,0.75,,0.75,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffering Bastard,65,collins or highball,,0.5,,,,4,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Merciless Virgin,67,footed pilsner,0.75,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.25,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saturn,67,chilled coupe,0.75,,,,,,,,,,,,,,0.5,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiki Bowl (serves 2),68,decorative bowl,,0.75,,,1.5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1.25,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Hurricane,68,hurricane glass,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mundo Perdido,93,chilled coupe,0.75,,,,,,,,,,,,,0.25,,0.25,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formidable Dragon,93,brandy snifter,0.75,0.75,,,,,,,,,,,1,,,,,0.5,0.75,,,,,,,,,,,,,,,,1.5,,1,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Lei Lani Valcano 2.0,94,collins or highball,,0.75,1.5,,,,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tradewinds,94,zombie,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peachtree Punch 2.0,96,double old-fashioned,0.5,,,,3,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,
Jungle Bird,96,collins or highball,,0.5,2,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden Gun,97,collins or highball,,0.75,,0.5,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
Hinky Dinks Fizzy,97,brandy snifter,,0.5,1.5,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Pampanito,115,collins or highball,1,,,,,,,,,,,,2.5,,,,,,1,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Max's Mistake,115,brandy snifter,1,,,,,,,,,,,2,,,1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
La Guildive,116,chilled coupe,,0.5,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Twenty Seventy Swizzle,116,collins or highball,,0.5,,,,,,,,,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Shudders in a Whisper,118,brandy snifter,,0.75,,,,,,,,,,,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,
